Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,2018.209961,2075.76001,2001.01001,2067.560059,2067.560059,63600190000
12/1/2014,2065.780029,2093.550049,1972.560059,2058.899902,2058.899902,80743820000
1/1/2015,2058.899902,2072.360107,1988.119995,1994.98999,1994.98999,77330040000
2/1/2015,1996.670044,2119.590088,1980.900024,2104.5,2104.5,68775560000
3/1/2015,2105.22998,2117.52002,2039.689941,2067.889893,2067.889893,76675850000
4/1/2015,2067.629883,2125.919922,2048.379883,2085.51001,2085.51001,72060940000
5/1/2015,2087.379883,2134.719971,2067.929932,2107.389893,2107.389893,65187730000
6/1/2015,2108.639893,2129.870117,2056.320068,2063.110107,2063.110107,73213980000
7/1/2015,2067,2132.820068,2044.02002,2103.840088,2103.840088,77920590000
8/1/2015,2104.48999,2112.659912,1867.01001,1972.180054,1972.180054,84626790000
9/1/2015,1970.089966,2020.859985,1871.910034,1920.030029,1920.030029,79989370000
10/1/2015,1919.650024,2094.320068,1893.699951,2079.360107,2079.360107,85844900000
11/1/2015,2080.76001,2116.47998,2019.390015,2080.409912,2080.409912,75943590000
12/1/2015,2082.929932,2104.27002,1993.26001,2043.939941,2043.939941,83649260000
1/1/2016,2038.199951,2038.199951,1812.290039,1940.23999,1940.23999,92409770000
2/1/2016,1936.939941,1962.959961,1810.099976,1932.22998,1932.22998,93049560000
3/1/2016,1937.089966,2072.209961,1937.089966,2059.73999,2059.73999,92639420000
4/1/2016,2056.620117,2111.050049,2033.800049,2065.300049,2065.300049,81124990000
5/1/2016,2067.169922,2103.47998,2025.910034,2096.949951,2096.949951,78883600000
6/1/2016,2093.939941,2120.550049,1991.680054,2098.860107,2098.860107,86852700000
7/1/2016,2099.340088,2177.090088,2074.02002,2173.600098,2173.600098,69530250000
8/1/2016,2173.149902,2193.810059,2147.580078,2170.949951,2170.949951,75610310000
9/1/2016,2171.330078,2187.870117,2119.120117,2168.27002,2168.27002,77270240000
10/1/2016,2164.330078,2169.600098,2114.719971,2126.149902,2126.149902,73196630000
11/1/2016,2128.679932,2214.100098,2083.790039,2198.810059,2198.810059,88299760000
12/1/2016,2200.169922,2277.530029,2187.439941,2238.830078,2238.830078,75251240000
1/1/2017,2251.570068,2300.98999,2245.129883,2278.870117,2278.870117,70483180000
2/1/2017,2285.590088,2371.540039,2271.649902,2363.639893,2363.639893,69162420000
3/1/2017,2380.129883,2400.97998,2322.25,2362.719971,2362.719971,81547770000
4/1/2017,2362.340088,2398.159912,2328.949951,2384.199951,2384.199951,65265670000
5/1/2017,2388.5,2418.709961,2352.719971,2411.800049,2411.800049,79607170000
6/1/2017,2415.649902,2453.820068,2405.699951,2423.409912,2423.409912,81002490000
7/1/2017,2431.389893,2484.040039,2407.699951,2470.300049,2470.300049,63169400000
8/1/2017,2477.100098,2490.870117,2417.350098,2471.649902,2471.649902,70616030000
9/1/2017,2474.419922,2519.439941,2446.550049,2519.360107,2519.360107,66337980000
10/1/2017,2521.199951,2582.97998,2520.399902,2575.26001,2575.26001,70871570000
11/1/2017,2583.209961,2657.73999,2557.449951,2647.580078,2647.580078,73173260000
