Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,112.370003,115.139999,107.220001,107.389999,88.765427,3706842300
2010-02-01,108.150002,111.580002,104.580002,110.739998,91.534454,4451912400
2010-03-01,111.199997,118.169998,111.169998,117.000000,96.708801,3899688500
2010-04-01,117.800003,122.120003,117.099998,118.809998,98.609283,3887089700
2010-05-01,119.379997,120.680000,104.379997,109.370003,90.774330,7413878800
2010-06-01,108.349998,113.199997,102.879997,103.220001,85.669998,5706059600
2010-07-01,103.150002,112.290001,101.129997,110.269997,91.956734,4725402000
2010-08-01,111.989998,113.180000,104.290001,105.309998,87.820480,4541971600
2010-09-01,106.730003,115.790001,106.660004,114.129997,95.175674,4035642500
2010-10-01,114.989998,119.760002,113.180000,118.489998,99.340576,3767490800
2010-11-01,119.070000,122.949997,117.589996,118.489998,99.340576,3983708900
2010-12-01,120.199997,126.199997,120.190002,125.750000,105.427277,2722749900
2011-01-01,126.709999,130.350006,125.699997,128.679993,108.451126,2860314700
2011-02-01,129.460007,134.690002,129.380005,133.149994,112.218414,2820073500
2011-03-01,133.570007,133.690002,125.279999,132.589996,111.746445,4787459400
2011-04-01,133.410004,136.570007,129.509995,136.429993,115.482285,2812718500
2011-05-01,137.070007,137.179993,131.380005,134.899994,114.187233,3337607300
2011-06-01,134.509995,134.919998,126.190002,131.970001,111.707100,4710433400
2011-07-01,132.089996,135.699997,127.970001,129.330002,110.015160,3840768000
2011-08-01,130.839996,130.960007,110.269997,122.220001,103.967010,9050451800
2011-09-01,122.290001,123.400002,111.300003,113.150002,96.251595,6188283200
2011-10-01,112.489998,129.419998,107.430000,125.500000,107.309486,5721102000
2011-11-01,122.029999,128.020004,116.199997,124.989998,106.873421,5013586000
2011-12-01,124.849998,127.260002,120.029999,125.500000,107.309486,3848636100
2012-01-01,127.760002,133.399994,126.430000,131.320007,112.998047,2883821400
2012-02-01,132.289993,138.190002,132.130005,137.020004,117.902817,2894582000
2012-03-01,137.309998,141.830002,134.360001,140.809998,121.164009,3057516200
2012-04-01,140.639999,142.210007,135.759995,139.869995,120.882614,3035644100
2012-05-01,139.789993,141.660004,129.550003,131.470001,113.622864,4004156100
2012-06-01,129.410004,136.270004,127.139999,136.100006,117.624390,3644886200
2012-07-01,136.479996,139.339996,132.600006,137.710007,119.632477,2864743300
2012-08-01,138.699997,143.089996,135.580002,141.160004,122.629616,2413590900
2012-09-01,141.039993,148.110001,140.130005,143.970001,125.070732,2391233500
2012-10-01,144.520004,147.160004,140.389999,141.350006,123.450134,2719915500
2012-11-01,141.649994,143.720001,134.699997,142.149994,124.148811,3032769100
2012-12-01,142.800003,145.580002,139.539993,142.410004,124.375893,2889875900
2013-01-01,145.110001,150.940002,144.729996,149.699997,131.670029,2587140200
2013-02-01,150.649994,153.279999,148.729996,151.610001,133.350006,2581459300
2013-03-01,151.089996,156.850006,150.410004,156.669998,137.800568,2330972300
2013-04-01,156.589996,159.720001,153.550003,159.679993,141.072678,2907035000
2013-05-01,159.330002,169.070007,158.100006,163.449997,144.403381,2781596000
2013-06-01,163.830002,165.990005,155.729996,160.419998,141.726471,3533321800
2013-07-01,161.259995,169.860001,160.220001,168.710007,149.839127,2330904500
